year,name,count
1900,ADRIEN,9788
1900,ALI,0
1900,AURÉLIE,1966
1900,CEDRIC,0
1900,CLAIRE,9687
1900,ERIC,219
1900,ETIENNE,9654
1900,ISABELLE,4868
1900,JULIEN,15036
1900,MATHIEU,1319
1900,NICOLAS,3328
1900,PHILIPPE,3400
1900,PIERRE,94276
1900,RÉMY,1173
1900,RENÉ,69315
1900,ROMAIN,566
1900,VÉRONIQUE,486
1910,ADRIEN,7906
1910,ALI,0
1910,AURÉLIE,1080
1910,CEDRIC,0
1910,CLAIRE,6791
1910,ERIC,359
1910,ETIENNE,7874
1910,ISABELLE,3068
1910,JULIEN,12654
1910,MATHIEU,1007
1910,NICOLAS,2433
1910,PHILIPPE,2669
1910,PIERRE,95652
1910,RÉMY,1315
1910,RENÉ,81305
1910,ROMAIN,351
1910,VÉRONIQUE,388
1920,ADRIEN,7580
1920,ALI,20
1920,AURÉLIE,749
1920,CEDRIC,0
1920,CLAIRE,7464
1920,ERIC,149
1920,ETIENNE,9573
1920,ISABELLE,3479
1920,JULIEN,12863
1920,MATHIEU,964
1920,NICOLAS,2305
1920,PHILIPPE,5421
1920,PIERRE,158698
1920,RÉMY,3388
1920,RENÉ,139732
1920,ROMAIN,621
1920,VÉRONIQUE,478
1930,ADRIEN,3492
1930,ALI,88
1930,AURÉLIE,276
1930,CEDRIC,0
1930,CLAIRE,5230
1930,ERIC,512
1930,ETIENNE,7190
1930,ISABELLE,2507
1930,JULIEN,7151
1930,MATHIEU,616
1930,NICOLAS,1714
1930,PHILIPPE,11339
1930,PIERRE,142641
1930,RÉMY,4565
1930,RENÉ,104102
1930,ROMAIN,616
1930,VÉRONIQUE,506
1940,ADRIEN,1400
1940,ALI,319
1940,AURÉLIE,150
1940,CEDRIC,0
1940,CLAIRE,5999
1940,ERIC,2819
1940,ETIENNE,5194
1940,ISABELLE,3246
1940,JULIEN,3020
1940,MATHIEU,438
1940,NICOLAS,1457
1940,PHILIPPE,29844
1940,PIERRE,103185
1940,RÉMY,5730
1940,RENÉ,66333
1940,ROMAIN,380
1940,VÉRONIQUE,1727
1950,ADRIEN,956
1950,ALI,1368
1950,AURÉLIE,94
1950,CEDRIC,28
1950,CLAIRE,11039
1950,ERIC,36925
1950,ETIENNE,6252
1950,ISABELLE,34966
1950,JULIEN,1887
1950,MATHIEU,527
1950,NICOLAS,2816
1950,PHILIPPE,156329
1950,PIERRE,81507
1950,RÉMY,9519
1950,RENÉ,39099
1950,ROMAIN,616
1950,VÉRONIQUE,32552
1960,ADRIEN,490
1960,ALI,3011
1960,AURÉLIE,470
1960,CEDRIC,1382
1960,CLAIRE,16716
1960,ERIC,175145
1960,ETIENNE,5507
1960,ISABELLE,186467
1960,JULIEN,1744
1960,MATHIEU,1790
1960,NICOLAS,23051
1960,PHILIPPE,229594
1960,PIERRE,56184
1960,RÉMY,7967
1960,RENÉ,12071
1960,ROMAIN,1150
1960,VÉRONIQUE,134231
1970,ADRIEN,1954
1970,ALI,3245
1970,AURÉLIE,26774
1970,CEDRIC,54250
1970,CLAIRE,21313
1970,ERIC,74892
1970,ETIENNE,4630
1970,ISABELLE,107343
1970,JULIEN,38539
1970,MATHIEU,17799
1970,NICOLAS,95688
1970,PHILIPPE,71585
1970,PIERRE,30607
1970,RÉMY,5016
1970,RENÉ,1971
1970,ROMAIN,11028
1970,VÉRONIQUE,53711
1980,ADRIEN,27512
1980,ALI,3365
1980,AURÉLIE,113317
1980,CEDRIC,56455
1980,CLAIRE,35729
1980,ERIC,17369
1980,ETIENNE,8039
1980,ISABELLE,22743
1980,JULIEN,145911
1980,MATHIEU,58109
1980,NICOLAS,146101
1980,PHILIPPE,17742
1980,PIERRE,46142
1980,RÉMY,12297
1980,RENÉ,508
1980,ROMAIN,70541
1980,VÉRONIQUE,8502
1990,ADRIEN,38506
1990,ALI,2449
1990,AURÉLIE,29046
1990,CEDRIC,16167
1990,CLAIRE,26185
1990,ERIC,4563
1990,ETIENNE,9978
1990,ISABELLE,3979
1990,JULIEN,69500
1990,MATHIEU,38925
1990,NICOLAS,83442
1990,PHILIPPE,5491
1990,PIERRE,48932
1990,RÉMY,12553
1990,RENÉ,93
1990,ROMAIN,60149
1990,VÉRONIQUE,606
2000,ADRIEN,23616
2000,ALI,3552
2000,AURÉLIE,5113
2000,CEDRIC,4014
2000,CLAIRE,8494
2000,ERIC,1788
2000,ETIENNE,5514
2000,ISABELLE,930
2000,JULIEN,28131
2000,MATHIEU,22000
2000,NICOLAS,33686
2000,PHILIPPE,1407
2000,PIERRE,25012
2000,RÉMY,5322
2000,RENÉ,6
2000,ROMAIN,34610
2000,VÉRONIQUE,126
2010,ADRIEN,10175
2010,ALI,6089
2010,AURÉLIE,215
2010,CEDRIC,74
2010,CLAIRE,2006
2010,ERIC,653
2010,ETIENNE,1524
2010,ISABELLE,487
2010,JULIEN,5280
2010,MATHIEU,5933
2010,NICOLAS,6009
2010,PHILIPPE,464
2010,PIERRE,8417
2010,RÉMY,488
2010,RENÉ,3
2010,ROMAIN,7989
2010,VÉRONIQUE,3
2020,ADRIEN,1582
2020,ALI,2235
2020,AURÉLIE,7
2020,CEDRIC,0
2020,CLAIRE,220
2020,ERIC,126
2020,ETIENNE,125
2020,ISABELLE,116
2020,JULIEN,398
2020,MATHIEU,429
2020,NICOLAS,834
2020,PHILIPPE,130
2020,PIERRE,1038
2020,RÉMY,29
2020,RENÉ,0
2020,ROMAIN,435
2020,VÉRONIQUE,0
